Dates,MSCI World Net Total Return Lo,Bloomberg Commodity Index,S&P GSCI Energy Official Close,S&P GSCI Industrial Metals Off,S&P GSCI Precious Metals Offic,S&P GSCI Agriculture Official,S&P GSCI Gold Official Close I,YoY % NSA
31/03/1989,0.190438631,0.103973565,0.488870288,0.905381455,-0.181601958,0.147708761,-0.207071492,0.08
28/04/1989,0.199970455,0.088303944,0.47484489,1.25439817,-0.185515374,0.142152765,-0.217327863,0.08
31/05/1989,0.243139491,0.015245701,0.473157197,0.895754162,-0.250656707,0.020942496,-0.258382985,0.08
30/06/1989,0.18038915,0.002938451,0.6788015,0.490066939,-0.196298613,-0.084174626,-0.197980759,0.08
31/07/1989,0.249029981,0.019575304,0.486798657,0.685031848,-0.196954015,-0.026305968,-0.209474465,0.08
31/08/1989,0.311165653,0.04746014,0.674065276,0.774995411,-0.216949917,-0.060760046,-0.224405461,0.07
29/09/1989,0.273457196,0.136279123,1.004020293,0.558974359,-0.122784961,-0.028710411,-0.129894588,0.08
31/10/1989,0.214033187,0.109036753,0.800681253,0.122849169,-0.15491693,-0.0481982,-0.150626165,0.07
30/11/1989,0.239950933,0.1058339,0.597551755,-0.044164848,-0.110498528,-0.042809118,-0.092456746,0.08
29/12/1989,0.24064593,0.079436301,0.702199495,-0.079109676,-0.092768478,-0.106143913,-0.08223613,0.08
31/01/1990,0.111056432,0.092276958,0.654182934,-0.190811187,-0.034291212,-0.09665748,-0.013514584,0.08
28/02/1990,0.095089823,0.085834561,0.476450454,-0.068559909,-0.049951258,-0.080009381,-0.021174829,0.08
30/03/1990,0.031099931,0.054706316,0.235855242,0.04207449,-0.118218617,-0.038729123,-0.102671672,0.08
30/04/1990,-0.008510096,0.044803368,0.085745728,-0.073265392,-0.109090676,0.005255849,-0.08909734,0.09
31/05/1990,0.056904227,0.054917061,0.074965849,0.102131419,-0.064681748,-0.005228449,-0.063561163,0.10
29/06/1990,0.053328065,0.02321112,0.017465334,0.264697999,-0.104662651,-0.056548405,-0.111836626,0.10
31/07/1990,-0.039215402,0.099762149,0.247007638,0.288073757,-0.078801626,-0.087109799,-0.070182874,0.10
31/08/1990,-0.14492932,0.172778317,0.611131884,0.163510091,-0.024442661,-0.130321323,-0.010926393,0.11
28/09/1990,-0.249138984,0.294068669,1.006912702,0.162094224,-0.028917387,-0.150267026,0.018704764,0.11
31/10/1990,-0.18005696,0.229932126,0.866817204,0.220654706,-0.096764721,-0.161820065,-0.062310136,0.11
30/11/1990,-0.216522866,0.144908882,0.664568878,0.212192891,-0.170511188,-0.183809147,-0.140464821,0.10
31/12/1990,-0.214296485,0.102512958,0.344658305,0.347405391,-0.1241946,-0.180062131,-0.09026296,0.09
31/01/1991,-0.154954419,0.020492299,0.117194162,0.347509628,-0.205979767,-0.158268741,-0.175797407,0.09
28/02/1991,-0.038722594,0.021727157,0.150499607,0.272349667,-0.185839088,-0.159616539,-0.156714832,0.09
29/03/1991,0.016833854,0.020948881,0.256166654,0.058106821,-0.136215246,-0.165892577,-0.099855702,0.08
30/04/1991,0.036615139,0.022173721,0.427839308,0.079104545,-0.128149368,-0.221094933,-0.095429371,0.06
31/05/1991,-0.022487183,0.02718601,0.484850273,-0.024989756,-0.118711369,-0.198324704,-0.06561687,0.06
28/06/1991,-0.05614466,0.006173854,0.491430145,-0.038830167,-0.081706904,-0.231869152,-0.029388518,0.06
31/07/1991,-0.004144894,0.010002714,0.361069559,-0.137654006,-0.12137456,-0.094136807,-0.072059561,0.06
30/08/1991,0.104371455,-0.075434363,0.037521614,-0.196788532,-0.181605581,-0.051833002,-0.139545729,0.05
30/09/1991,0.256023021,-0.1760111,-0.249368443,-0.187579832,-0.179724963,-0.035359706,-0.169164088,0.04
31/10/1991,0.197990913,-0.120697091,-0.119641275,-0.163884708,-0.118957468,0.012617892,-0.105292042,0.04
29/11/1991,0.146177851,-0.097436264,-0.093041699,-0.133778988,-0.097520879,0.016632832,-0.08512464,0.04
31/12/1991,0.16262325,-0.131335311,-0.175069051,-0.215495478,-0.156192578,0.070300835,-0.147530912,0.05
31/01/1992,0.13323247,-0.039434967,0.01634207,-0.121219162,-0.070519421,0.091040362,-0.071761144,0.04
28/02/1992,0.024484287,-0.05710949,0.008789135,-0.124934411,-0.086292989,0.03540635,-0.085416879,0.04
31/03/1992,-0.02991842,-0.054047109,-0.035958407,-0.06854923,-0.079526489,0.006321867,-0.081846803,0.04
30/04/1992,-0.020947134,-0.048578267,-0.024799515,-0.035634891,-0.102046335,0.002662598,-0.0977769,0.04
29/05/1992,-0.026957622,-0.003452933,0.00802061,0.053413423,-0.101228216,0.020547733,-0.111483287,0.04
30/06/1992,-0.027167293,0.027094551,0.006839543,0.037784062,-0.101853744,0.064804399,-0.108436577,0.04
31/07/1992,-0.064924788,-0.016326591,-0.059393035,0.079405007,-0.052071143,-0.095174231,-0.058531889,0.04
31/08/1992,-0.055169727,-0.026623295,-0.098150473,0.072192639,-0.046585983,-0.108344585,-0.054848337,0.04
30/09/1992,-0.059391743,-0.02292455,-0.084184919,0.05567267,-0.055117615,-0.104401918,-0.05540212,0.04
30/10/1992,-0.065103218,-0.058338096,-0.170094642,-0.028065305,-0.084961532,-0.116359871,-0.086172307,0.04
30/11/1992,0.019023821,-0.04095852,-0.149014278,-0.013029773,-0.112264406,-0.063869658,-0.123415518,0.03
31/12/1992,-0.013189607,0.001277879,-0.024661988,0.023309552,-0.075860323,-0.116611922,-0.090727629,0.03
29/01/1993,-0.004920606,-0.019275387,-0.020526916,-0.047062251,-0.09535963,-0.12628479,-0.104378998,0.02
26/02/1993,0.018666951,-0.006585459,0.004739961,-0.117873095,-0.094516191,-0.10314145,-0.096630216,0.02
31/03/1993,0.102097584,0.008619808,-0.016665985,-0.145233831,-0.04236068,-0.04572331,-0.043007079,0.02
30/04/1993,0.117066738,0.010402772,-0.077644594,-0.192769185,0.044583679,-0.027315789,0.030141182,0.01
31/05/1993,0.111783645,-0.039807579,-0.153581403,-0.22057519,0.094702367,-0.081736097,0.095002545,0.01
30/06/1993,0.170730202,-0.046367714,-0.1779725,-0.201270749,0.068880353,-0.088721937,0.072811294,0.01
30/07/1993,0.204625406,-0.026262238,-0.22397806,-0.22805355,0.128545349,0.033959483,0.108691707,0.01
31/08/1993,0.247728483,-0.032597904,-0.204166186,-0.256259626,0.080665797,0.039747034,0.059948828,0.02
30/09/1993,0.222688983,-0.068954502,-0.202464041,-0.276227333,-4.83919E-05,0.046628455,-0.004349639,0.02
29/10/1993,0.259579005,-0.052570715,-0.254040448,-0.228017295,0.06432684,0.070841842,0.058681194,0.01
30/11/1993,0.155848635,-0.05479984,-0.294900202,-0.228708716,0.07577658,0.074902386,0.078431706,0.01
31/12/1993,0.209450643,-0.040396622,-0.357088418,-0.185882666,0.159823716,0.159829468,0.144614975,0.02
31/01/1994,0.271491543,-0.003113419,-0.2670253,-0.109500378,0.138134086,0.137940427,0.126398457,0.03
28/02/1994,0.213712691,-0.023093364,-0.302511415,-0.062824727,0.157243848,0.138658419,0.128628335,0.02
31/03/1994,0.107703031,-0.043932272,-0.30164953,-0.042183189,0.159871199,0.062425074,0.126063699,0.02
29/04/1994,0.103628012,-0.033170962,-0.254313068,0.022307935,0.038855501,0.07783804,0.02487413,0.03
31/05/1994,0.098170653,0.035862188,-0.200278938,0.134671932,0.008836216,0.172922245,-0.008925293,0.03
30/06/1994,0.068586543,0.067976365,-0.098329954,0.132952061,0.007489873,0.16254972,-0.012929316,0.03
29/07/1994,0.066216914,0.063200126,-0.026856637,0.154324733,-0.075780771,0.102300762,-0.090558697,0.02
31/08/1994,0.053180519,0.05156799,-0.178269085,0.247399194,0.015687985,0.159040546,-0.000289459,0.02
30/09/1994,0.035725515,0.076875145,-0.197361686,0.37058045,0.103233339,0.148656663,0.070083149,0.02
31/10/1994,0.010883235,0.097150724,-0.114432871,0.54027043,0.027479157,0.096167944,0.000868699,0.02
30/11/1994,0.037438756,0.104765109,-0.066251152,0.656572922,0.006662057,0.049061891,-0.01059338,0.03
30/12/1994,-0.008210033,0.117323624,0.029324494,0.581399355,-0.053636822,0.036852568,-0.061329543,0.03
31/01/1995,-0.081055334,0.068570404,-0.148117933,0.544225603,-0.057789651,0.004603276,-0.062168144,0.03
28/02/1995,-0.051076592,0.07330739,-0.088028732,0.307845945,-0.066012836,0.03479634,-0.057977879,0.03
31/03/1995,0.002224203,0.095338183,-0.052404891,0.37245517,-0.05412868,0.048691521,-0.04926775,0.04
28/04/1995,0.008120006,0.09245179,-0.069657189,0.319173095,-0.011443811,0.060998935,-0.022340911,0.03
31/05/1995,0.013176304,0.028086573,-0.129230877,0.238984832,-0.051855928,0.047270969,-0.056085329,0.03
30/06/1995,0.037957077,-0.011315223,-0.24047938,0.197116139,-0.051765732,0.124304454,-0.054410662,0.04
31/07/1995,0.070821816,-0.006871885,-0.235091165,0.217686377,-0.058827343,0.162950217,-0.052800991,0.04
31/08/1995,0.057959963,0.036961948,-0.086625264,0.144008437,-0.057261764,0.149706647,-0.060321427,0.04
29/09/1995,0.122552337,0.044779666,-0.092254791,0.114956743,-0.073194483,0.176552734,-0.077347748,0.04
31/10/1995,0.0962834,0.044726322,-0.079402453,-0.026683012,-0.051183975,0.221991008,-0.052328664,0.03
30/11/1995,0.171975554,0.063266089,0.024275563,-0.089782689,-0.028191803,0.213722989,-0.03578307,0.03
29/12/1995,0.194216211,0.089277287,0.212238652,-0.116999736,-0.036196559,0.200672026,-0.036772406,0.03
31/01/1996,0.265198645,0.103878818,0.251551995,-0.179295157,0.04115441,0.288960982,0.037062693,0.03
29/02/1996,0.256771372,0.129555567,0.300340846,-0.05619343,0.024868414,0.262654113,0.01691454,0.03
29/03/1996,0.277106802,0.155820641,0.394616518,-0.069441621,-0.036483289,0.297906782,-0.030756946,0.03
30/04/1996,0.273532556,0.188706929,0.402663481,-0.051244606,-0.046475189,0.412092279,-0.028385722,0.02
31/05/1996,0.260906747,0.192576764,0.417606932,-0.08243787,-0.030637775,0.356725852,-0.0222882,0.02
28/06/1996,0.273797425,0.203304943,0.703056019,-0.184717169,-0.058002667,0.240593737,-0.049113186,0.02
31/07/1996,0.150263711,0.163578677,0.540767279,-0.201140125,-0.02817527,0.142366517,-0.024626465,0.02
30/08/1996,0.148928379,0.200112161,0.531168466,-0.16672602,-0.037318289,0.162611459,-0.025328993,0.02
30/09/1996,0.179789418,0.194714817,0.709100847,-0.219624182,-0.068418038,0.052474634,-0.051250227,0.02
31/10/1996,0.197527365,0.168612337,0.744499707,-0.16580394,-0.063094802,-0.067967303,-0.049329623,0.03
29/11/1996,0.215633383,0.215352425,0.846626881,-0.11616065,-0.080521675,-0.032845743,-0.070414268,0.03
31/12/1996,0.166177822,0.169871945,0.581979417,-0.133876473,-0.088607216,-0.069851272,-0.083614172,0.03
31/01/1997,0.167820938,0.169339378,0.542541945,-0.049610985,-0.182571667,-0.093898885,-0.184246466,0.03
28/02/1997,0.18842334,0.156954673,0.215430126,-0.002328634,-0.116162473,-0.028824006,-0.1235512,0.03
31/03/1997,0.143008542,0.126965925,0.105873069,-0.028406312,-0.139882159,-0.004341377,-0.143409414,0.03
30/04/1997,0.164757239,0.082899686,0.072199428,-0.027845626,-0.160669213,-0.067356272,-0.164101615,0.02
30/05/1997,0.208696944,0.103927319,0.124403688,0.012879415,-0.14714603,-0.089074097,-0.151578098,0.03
30/06/1997,0.25915277,0.041921188,-0.044975265,0.101306427,-0.137055673,-0.148329365,-0.153904717,0.03
